country,size (km2),source
England,130279,https://en.wikipedia.org/wiki/England
Wales,20779,https://en.wikipedia.org/wiki/Size_of_Wales
Scotland,77933,https://en.wikipedia.org/wiki/Scotland
Great Britain,209331,https://en.wikipedia.org/wiki/Great_Britain
